rank,name,platform_code,year,genre,publisher,NA_sales,EU_sales,JP_sales,Other_sales
12307,Nicola Kanshuu: Model * Oshare Audition,DS,2010,Misc,Alchemist,0,0,0.06,0
12358,Kuukan * Zukei: Hirameki Training - KuuTore,DS,2008,Misc,Benesse,0,0,0.06,0
12359,Osu! Tatakae! Ouendan,DS,2005,Misc,Nintendo,0,0,0.06,0
12394,Atari's Greatest Hits: Volume 2,DS,2011,Misc,Atari,0.06,0,0,0
12395,Chuck E. Cheese's Playhouse,DS,2010,Misc,UFO Interactive,0.06,0,0,0
12465,Minna no DS Seminar: Kanpeki Eitango Ryoku,DS,2006,Misc,TDK Core,0,0,0.06,0
12482,World Series of Poker 2008: Battle for the Bracelets,DS,2007,Misc,Activision,0.05,0,0,0
12501,Eigo de Tabisuru: Little Charo,DS,2011,Misc,Nintendo,0,0,0.06,0
12531,I Love Beauty: Hollywood Makeover,DS,2009,Misc,City Interactive,0.06,0,0,0
12554,Zaidan Houjin Nippon Kanji Nouryoku Kentei Kyoukai Kounin: KanKen DS3 Deluxe,DS,2009,Misc,Rocket Company,0,0,0.06,0
12566,Satisfashion,DS,2010,Misc,Destineer,0.06,0,0,0
12596,Jacqueline Wilson's Tracy Beaker: The Game,DS,2009,Misc,P2 Games,0,0.05,0,0
12621,Tabi no Yubisashi Kaiwachou DS: DS Series 3 Kankoku,DS,2006,Misc,Nintendo,0,0,0.06,0
12639,Quiz! Hexagon II,DS,2010,Misc,Namco Bandai Games,0,0,0.06,0
12692,Noddy in Toyland,DS,2011,Misc,GSP,0,0.05,0,0.01
12719,Wantame Fortune Channel,DS,2007,Misc,Capcom,0,0,0.06,0
12774,Meitantei Conan: Tantei Ryoku Trainer,DS,2007,Misc,Namco Bandai Games,0,0,0.06,0
12835,Drivers Ed Portable,DS,2008,Misc,JoWood Productions,0.05,0,0,0
12841,Minna to Kimi no Piramekino!,DS,2010,Misc,Namco Bandai Games,0,0,0.05,0
12847,Lernerfolg Vorschule: Capt'n Sharky,DS,2009,Misc,Tivola,0,0.05,0,0.01
12866,Learn Science,DS,2010,Misc,DreamCatcher Interactive,0.05,0,0,0
12891,Rockin' Pretty,DS,2009,Misc,Arc System Works,0.05,0,0,0
12894,Jissen Pachislot Hisshouhou! Hokuto no Ken DS SE,DS,2006,Misc,Sega,0,0,0.05,0
13063,Imagine: Artist,DS,2009,Misc,Ubisoft,0.05,0,0,0
13071,Kids Learn Music A+ Edition,DS,2011,Misc,Unknown,0.05,0,0,0
13078,Tabi no Yubisashi Kaiwachou DS: DS Series 2 Chuugoku,DS,2006,Misc,Nintendo,0,0,0.05,0
13119,Nounai Aeshe: IQ Suppli DS 2 - Sukkiri King Ketteisen,DS,2007,Misc,Spike,0,0,0.05,0
13167,Yu-Gi-Oh! GX: Spirit Caller (Japan Sales),DS,2006,Misc,Konami Digital Entertainment,0,0,0.05,0
13175,Smart Kid's Party Fun Pak,DS,2008,Misc,UFO Interactive,0.05,0,0,0
13186,Monster Band,DS,2008,Misc,Tivola,0.04,0,0,0
13189,Fushigi? Kagaku: Nazotoki Quiz Training - NazoTore,DS,2008,Misc,Benesse,0,0,0.05,0
13195,Houkago Shounen,DS,2008,Misc,Konami Digital Entertainment,0,0,0.05,0
13241,Katekyoo Hitman Reborn! DS: Bongole Shiki Taisen Battle Sugoroku,DS,2008,Misc,Takara Tomy,0,0,0.05,0
13305,Color Cross,DS,2008,Misc,Rising Star Games,0.04,0,0,0
13421,Family Fortunes,DS,2009,Misc,Mindscape,0,0.04,0,0
13427,Tabi no Yubisashi Kaiwachou DS: DS Series 1 Thai,DS,2006,Misc,Nintendo,0,0,0.05,0
13431,Looney Tunes: Cartoon Conductor,DS,2008,Misc,Eidos Interactive,0.04,0,0,0
13465,Phoenix Wright: Revived Turnabout,DS,2008,Misc,Capcom,0,0,0.04,0
13468,Cheer We Go!,DS,2010,Misc,Natsume,0.04,0,0,0
13474,Nihon Pro Mahjong Kishikai Kanshuu: Pro Ni Naru Mahjong DS,DS,2005,Misc,Success,0,0,0.04,0
13482,World Championship Spelling,DS,2010,Misc,505 Games,0.04,0,0,0
13493,Sekai no Gohan Shaberu! DS Oryouri Navi,DS,2008,Misc,Nintendo,0,0,0.04,0
13504,Just Sing! Vol. 2,DS,2011,Misc,PQube,0,0.04,0,0.01
13630,Jissen Pachislot Hisshouhou! Hokuto no Ken DS,DS,2005,Misc,Sega,0,0,0.04,0
13642,Tabi no Yubisashi Kaiwachou DS: DS Series 5 Deutsch,DS,2006,Misc,Nintendo,0,0,0.04,0
13662,Code Geass: Hangyaku no Lelouch R2 - Banjou no Geass Gekijou,DS,2008,Misc,Namco Bandai Games,0,0,0.04,0
13758,Who Wants to Be a Millionaire: 3rd Edition,DS,2010,Misc,Ubisoft,0.04,0,0,0
13769,Motto TOEIC Test DS Training,DS,2008,Misc,IE Institute,0,0,0.04,0
13779,Deal or No Deal: Special Edition,DS,2010,Misc,Zoo Games,0.04,0,0,0
13784,Akko ni Omakase! Brain Shock,DS,2006,Misc,Taito,0,0,0.04,0
13790,Who Wants to be a Millionaire: 1st Edition,DS,2007,Misc,Ubisoft,0,0.04,0,0
13803,Haneru no Tobira DS: Tanshuku Tetsudou no Yoru,DS,2007,Misc,Namco Bandai Games,0,0,0.04,0
13842,Kidou Gekidan Haro Ichiza Gundam Mahjong DS: Oyaji nimo Agarareta koto nai noni!,DS,2005,Misc,Namco Bandai Games,0,0,0.04,0
13874,I'm A Celebrity: Get Me Out of Here!,DS,2009,Misc,Mindscape,0,0.04,0,0
13878,Holly Hobbie & Friends,DS,2007,Misc,Majesco Entertainment,0.04,0,0,0
13892,100 Classic Games,DS,2011,Misc,Rondomedia,0,0.03,0,0
13910,Heathcliff! Frantic Foto,DS,2010,Misc,Storm City Games,0.04,0,0,0
13945,Texas Hold 'Em Poker DS,DS,2005,Misc,Majesco Entertainment,0.03,0,0,0
13965,Hisshou Pachinko*Pachi-Slot Kouryaku Series DS Vol. 5: Shinseiki Evangelion - Tamashii no Kiseki,DS,2010,Misc,D3Publisher,0,0,0.04,0
14001,"Minna de Jibun no Setsumeisho: B-Kata, A-Kata, AB-Kata, O-Kata",DS,2008,Misc,GungHo,0,0,0.04,0
14014,Onsei Kanjou Sokuteiki: Kokoro Scan,DS,2007,Misc,Sega,0,0,0.04,0
14040,Mahjong Taikai,DS,2004,Misc,Tecmo Koei,0,0,0.04,0
14044,Bratz Kidz,DS,2008,Misc,Game Factory,0.03,0,0,0
14052,Ultimate Game Room,DS,2009,Misc,Majesco Entertainment,0.03,0,0,0
14071,Astrology DS,DS,2009,Misc,Deep Silver,0.03,0,0,0
14113,Travel Coach: Europe 1,DS,2008,Misc,HMH Interactive,0,0.03,0,0
14142,Clever Kids: Pirates,DS,2008,Misc,Midas Interactive Entertainment,0,0.03,0,0
14194,Electroplankton,DS,2005,Misc,Nintendo,0.01,0,0.02,0
14275,Best Friends Tonight,DS,2010,Misc,Ubisoft,0.03,0,0,0
14298,Gotouchi Kenkei DS,DS,2006,Misc,Spike,0,0,0.03,0
14313,Sekai no Hate Made Itte Q! Chinjuu Hunter Mono no Daibouken,DS,2010,Misc,Kamui,0,0,0.03,0
14321,Vegas Casino,DS,2007,Misc,Neko Entertainment,0.03,0,0,0
14325,Smart Girl's Winter Wonderland,DS,2008,Misc,UFO Interactive,0.03,0,0,0
14344,Konami Classics Series: Arcade Hits,DS,2007,Misc,Konami Digital Entertainment,0.01,0,0.02,0
14356,Montessori Music,DS,2008,Misc,Oxygen Interactive,0.01,0.02,0,0
14447,Kokoro no Kokoron,DS,2011,Misc,Namco Bandai Games,0,0,0.03,0
14453,Kaidan Restaurant: Zoku! Shin Menu 100-Sen,DS,2011,Misc,Namco Bandai Games,0,0,0.03,0
14504,Hudson x GReeeeN Live!? DeeeeS!?,DS,2010,Misc,Hudson Soft,0,0,0.03,0
14587,Dream Pinball 3D,DS,2008,Misc,SouthPeak Games,0.03,0,0,0
14608,Hisshou Pachinko*Pachi-Slot Kouryaku Series DS Vol. 4: Shinseiki Evangelion - Saigo no Mono,DS,2009,Misc,D3Publisher,0,0,0.03,0
14635,1000 Cooking Recipes from ELLE à table,DS,2010,Misc,Nintendo,0,0.02,0,0
14840,Bae Yong-joon to Manabu Kankokugo DS,DS,2009,Misc,D3Publisher,0,0,0.03,0
14851,My DoItAll,DS,2009,Misc,Tomy Corporation,0.02,0,0,0
14900,Hisshou Pachinko*Pachi-slot Kouryaku Series DS Vol. 3: Shinseiki Evangelion - Yakusoku no Toki,DS,2008,Misc,D3Publisher,0,0,0.03,0
14932,Mind Your Language: Learn English! / French! / German! / Spanish! /Japanese!,DS,2009,Misc,PlayV,0,0.02,0,0
14987,"Hisshou Pachinko*Pachi-Slot Kouryaku Series DS Vol. 1: Shinseiki Evangelion - Magokoro o, Kimi ni",DS,2008,Misc,D3Publisher,0,0,0.02,0
15071,Pe-Jongju to Manabu Kankokugo DS: Test-Hen,DS,2010,Misc,D3Publisher,0,0,0.02,0
15131,Interactive Storybook DS Series 3,DS,2007,Misc,Tommo,0.02,0,0,0
15190,Quiz Present Variety Q-Sama!! DS: Pressure Study x Atama Gai Kunaru Drill SP,DS,2011,Misc,Plenty,0,0,0.02,0
15244,Maji de Manabu: LEC de Ukaru - DS Hishou Boki 3-Kyuu,DS,2008,Misc,Square Enix,0,0,0.02,0
15283,Motto Hayaku! Seikaku Ni! Suu Sense Keisan Ryuoku Up Training - SuuTore,DS,2008,Misc,Benesse,0,0,0.02,0
15309,Shaberu! DS Oryouri Navi: Marugoto Teikoku Hotel: Saikouhou no Ryouri-chou ga Oshieru Katei Ryouri,DS,2007,Misc,Tecmo Koei,0,0,0.02,0
15547,Jinsei Game DS,DS,2006,Misc,Atlus,0,0,0.02,0
15550,Reversal Challenge,DS,2009,Misc,Tommo,0.02,0,0,0
15559,Style Book: Junior City,DS,2006,Misc,Namco Bandai Games,0,0,0.02,0
15590,Gakken DS: Shin TOEIC Test Kanzen Kouryaku,DS,2007,Misc,Gakken,0,0,0.02,0
15619,Nodame Cantabile: Tanoshii Ongaku no Jikan Desu,DS,2010,Misc,Namco Bandai Games,0,0,0.02,0
15668,Moe Star: Moeru Toudai Eigojuku,DS,2008,Misc,Mirai Shounen,0,0,0.02,0
15688,Golden Nugget Casino DS,DS,2005,Misc,Majesco Entertainment,0.02,0,0,0
15736,DJ Star,DS,2009,Misc,Deep Silver,0.01,0,0,0
15741,Clue / Mouse Trap / Perfection / Aggravation,DS,2006,Misc,Unknown,0.02,0,0,0
15746,Postman Pat: Special Delivery Service,DS,2009,Misc,GSP,0,0.01,0,0
15750,Kochira Katsushikaku Kameari Kouenmae Hashutsujo: Machiteba Tengoku! Makereba Jigoku! Ryoutsuryuu Ikkakusenkin Daisakusen!,DS,2010,Misc,Namco Bandai Games,0,0,0.02,0
15754,Let's Yoga!,DS,2007,Misc,Konami Digital Entertainment,0,0,0.02,0
15765,Uchi no 3 Shimai DS,DS,2008,Misc,Culture Brain,0,0,0.02,0
15779,Sansuu Puzzle de Migaku: Gakken Otona no Shikou Sense,DS,2007,Misc,Gakken,0,0,0.02,0
15808,Let's Pilates!,DS,2007,Misc,Konami Digital Entertainment,0.02,0,0,0
15830,Oshiri Kajiri Mushi no Rhythm Lesson DS: Kawai Ongaku Kyoushitsu Kanshuu,DS,2008,Misc,Sega,0,0,0.02,0
15833,Kuma no Pooh-San: 100 Acre no Mori no Cooking Book,DS,2011,Misc,Disney Interactive Studios,0,0,0.02,0
15846,Otona no Renai Shousetsu: Harlequin Selection,DS,2010,Misc,Nintendo,0,0,0.02,0
15852,Poupee Girl DS 2: Elegant Mint / Sweet Pink Style,DS,2010,Misc,Alvion,0,0,0.02,0
15909,Tokyo Friend Park II DS,DS,2006,Misc,Rocket Company,0,0,0.02,0
15921,Magic Encyclopedia: Moonlight,DS,2010,Misc,Foreign Media Games,0,0.01,0,0
15945,UNO 52,DS,2006,Misc,Zoo Digital Publishing,0.01,0,0,0
15951,Poupee Girl DS,DS,2009,Misc,Alvion,0,0,0.02,0
15986,Dragon Zakura DS,DS,2007,Misc,Electronic Arts,0,0,0.01,0
16003,Smart Kid's Mega Game Mix,DS,2009,Misc,UFO Interactive,0.01,0,0,0
16004,Diary Girl,DS,2008,Misc,Konami Digital Entertainment,0.01,0,0,0
16019,Cosmetic Paradise: Make no Kiseki,DS,2008,Misc,Global A Entertainment,0,0,0.01,0
16027,Simple DS Series Vol. 14: The Jidousha Kyoushuujo DS,DS,2007,Misc,D3Publisher,0,0,0.01,0
16105,Tobidase! Kagaku-kun Chikyuu Daitanken! Nazo no Chinkai Seibutsu ni Idome!,DS,2011,Misc,Namco Bandai Games,0,0,0.01,0
16120,Games Around the World,DS,2010,Misc,Zoo Games,0.01,0,0,0
16137,Kikiite Hajimaru: Eigo Kaiwa Training - KikiTore,DS,2008,Misc,Benesse,0,0,0.01,0
16209,Who Wants to be a Millionaire: 2nd Edition,DS,2008,Misc,Ubisoft,0,0.01,0,0
16215,Gardening Guide: How to get Green Fingers,DS,2009,Misc,Mindscape,0,0.01,0,0
16254,Jinsei Game Q DS: Shouwa no Dekigoto,DS,2007,Misc,Takara Tomy,0,0,0.01,0
16324,Jam Sessions: Sing and Play Guitar (jp sales),DS,2007,Misc,Ubisoft,0,0,0.01,0
16339,Nakayoshi All-Stars: Mezase Gakuen Idol,DS,2008,Misc,Creative Core,0,0,0.01,0
16380,Fullmetal Alchemist: Trading Card Game,DS,2007,Misc,Destineer,0.01,0,0,0
16397,Nova Usagi no Game de Ryuugaku!? DS,DS,2007,Misc,Konami Digital Entertainment,0,0,0.01,0
16417,thinkSMART: Chess for Kids,DS,2011,Misc,Mentor Interactive,0.01,0,0,0
16460,Juggler DS,DS,2008,Misc,Commseed,0,0,0.01,0
16487,Smart Boy's Winter Wonderland,DS,2008,Misc,UFO Interactive,0.01,0,0,0
16526,Style Book: Cinnamoroll,DS,2006,Misc,Namco Bandai Games,0,0,0.01,0
172,Pokemon Pinball,GB,1999,Misc,Nintendo,3.02,1.12,1.01,0.16
745,Kirby's Pinball Land,GB,1992,Misc,Nintendo,0.87,0.17,1.1,0.05
1544,Yakuman,GB,1989,Misc,Nintendo,0,0,1.28,0
1638,Game & Watch Gallery 2,GB,1997,Misc,Nintendo,0.76,0.3,0.12,0.04
1639,Game & Watch Gallery 3,GB,1999,Misc,Nintendo,0.79,0.31,0.08,0.04
2064,Game & Watch Gallery,GB,1997,Misc,Nintendo,0.63,0.25,0.09,0.03
2492,Yu-Gi-Oh! Dark Duel Stories,GB,2000,Misc,Konami Digital Entertainment,0,0,0.83,0
5830,Gameboy Gallery,GB,1995,Misc,Nintendo,0,0,0.3,0
627,Mario Party 4,GC,2002,Misc,Nintendo,1.13,0.36,0.92,0.07
805,Mario Party 5,GC,2003,Misc,Nintendo,0.97,0.33,0.73,0.06
827,Sonic Mega Collection,GC,2002,Misc,Infogrames,1.47,0.48,0.05,0.06
1109,Mario Party 6,GC,2004,Misc,Nintendo,0.9,0.11,0.6,0.05
1185,Mario Party 7,GC,2005,Misc,Nintendo,0.95,0.11,0.46,0.04
1777,Donkey Konga,GC,2003,Misc,Nintendo,0.5,0.16,0.46,0.03
3237,Namco Museum,GC,2002,Misc,Namco Bandai Games,0.48,0.13,0,0.02
3274,Pac-Man Player's Choice Bundle,GC,2003,Misc,Namco Bandai Games,0.48,0.12,0,0.02
4223,Dance Dance Revolution: Mario Mix,GC,2005,Misc,Nintendo,0.36,0.09,0,0.01
4458,"SpongeBob SquarePants: Lights, Camera, Pants!",GC,2005,Misc,THQ,0.34,0.09,0,0.01
4915,Donkey Konga 2,GC,2004,Misc,Nintendo,0.3,0.08,0,0.01
6233,Pokemon Box: Ruby & Sapphire,GC,2003,Misc,Nintendo,0,0,0.27,0.01
6754,Nickelodeon Party Blast,GC,2002,Misc,Atari,0.19,0.05,0,0.01
7149,Mary-Kate and Ashley: Sweet 16 - Licenced to Drive,GC,2003,Misc,Acclaim Entertainment,0.17,0.04,0,0.01
7324,Namco Museum: 50th Anniversary,GC,2005,Misc,Namco Bandai Games,0.17,0.04,0,0.01
7553,Bratz: Rock Angelz,GC,2005,Misc,THQ,0.16,0.04,0,0.01
7708,MC Groovz Dance Craze,GC,2004,Misc,Mad Catz,0.15,0.04,0,0.01
8437,Midway Arcade Treasures,GC,2003,Misc,Midway Games,0.13,0.03,0,0
8520,Midway Arcade Treasures 2,GC,2004,Misc,Midway Games,0.13,0.03,0,0
9592,Monopoly Party,GC,2002,Misc,Infogrames,0.1,0.03,0,0
9641,Mega Man X Collection,GC,2006,Misc,Capcom,0.1,0.03,0,0
10198,Odama,GC,2006,Misc,Nintendo,0.07,0.02,0.02,0
10287,Defender,GC,2002,Misc,Midway Games,0.08,0.02,0,0
10706,Universal Studios Theme Parks Adventure,GC,2001,Misc,Kemco,0.08,0.02,0,0
11450,Smuggler's Run: Warzones,GC,2002,Misc,Take-Two Interactive,0.06,0.02,0,0
11518,Shonen Jump's One Piece: Pirates Carnival,GC,2005,Misc,Namco Bandai Games,0.06,0.02,0,0
11644,Momotarou Dentetsu 11,GC,2002,Misc,Hudson Soft,0,0,0.07,0
11922,Karaoke Revolution Party,GC,2005,Misc,Konami Digital Entertainment,0.05,0.01,0,0
12093,Midway Arcade Treasures 3,GC,2005,Misc,Midway Games,0.05,0.01,0,0
12349,Intellivision Lives!,GC,2004,Misc,Crave Entertainment,0.05,0.01,0,0
13003,Pinball Hall of Fame: The Gottlieb Collection,GC,2005,Misc,Crave Entertainment,0.04,0.01,0,0
13050,Disney's Party,GC,2002,Misc,Electronic Arts,0.04,0.01,0,0
13079,Shrek Super Party,GC,2003,Misc,TDK Mediactive,0.04,0.01,0,0
13219,World Series of Poker,GC,2005,Misc,Activision Value,0.04,0.01,0,0
15184,Muppets Party Cruise,GC,2003,Misc,TDK Mediactive,0.02,0,0,0
474,The Sims: Livin Large,PC,2000,Misc,Electronic Arts,1.67,1.18,0,0.13
655,Monopoly,PC,1994,Misc,Hasbro Interactive,1.49,0.81,0,0.1
880,Who wants to be a millionaire,PC,1999,Misc,Disney Interactive Studios,1.94,0,0,0
3072,Rocksmith 2014,PC,2013,Misc,Ubisoft,0.35,0.24,0,0.07
13199,Sesame Street: Cookie's Counting Carnival,PC,2010,Misc,Warner Bros. Interactive Entertainment,0.05,0,0,0
13420,Sesame Street: Elmo's A-to-Zoo Adventure,PC,2010,Misc,Warner Bros. Interactive Entertainment,0.04,0,0,0
13684,Sonic PC Collection,PC,2009,Misc,Sega,0,0.04,0,0.01
14284,Guitar Hero: World Tour,PC,2009,Misc,Aspyr,0,0.03,0,0.01
14331,East India Company Collection,PC,2010,Misc,Paradox Interactive,0,0.03,0,0
14513,Casino Chaos With Las Vegas Players Collection,PC,2011,Misc,THQ,0.03,0,0,0
14657,Totally Spies! Totally Party,PC,2008,Misc,Ubisoft,0,0.02,0,0
14682,Schlag den Raab,PC,2010,Misc,Namco Bandai Games,0,0.02,0,0.01
15084,X3: Terran War Pack,PC,2012,Misc,Deep Silver,0,0.02,0,0
15498,Spirits and Demons: 5 Game Pack,PC,2015,Misc,Focus Multimedia,0,0.02,0,0
15577,7 Roses: A Darkness Rises,PC,2015,Misc,Avanquest Software,0,0.02,0,0
15978,You Don't Know Jack,PC,1995,Misc,Vivendi Games,0.01,0,0,0
16048,Guitar Hero III: Legends of Rock,PC,2007,Misc,Aspyr,0.01,0,0,0
16050,Rayman Raving Rabbids,PC,2006,Misc,Ubisoft,0,0.01,0,0
16351,Dungeons & Dragons: Neverwinter Nights - Complete,PC,2011,Misc,Atari,0.01,0,0,0
16387,Poker for Dummies,PC,2008,Misc,Electronic Arts,0,0.01,0,0
16516,Deal or No Deal,PC,2006,Misc,Focus Home Interactive,0,0.01,0,0
16539,Patrician IV: Gold Edition,PC,2011,Misc,Kalypso Media,0,0.01,0,0
294,Namco Museum Vol.3,PS,1996,Misc,Sony Computer Entertainment,2.28,1.55,0.16,0.06
318,Namco Museum Vol.1,PS,1995,Misc,Sony Computer Entertainment,2.12,1.44,0.22,0.06
394,Crash Bash,PS,2000,Misc,Sony Computer Entertainment,1.56,1.47,0.19,0.17
902,PaRappa The Rapper,PS,1996,Misc,Sony Computer Entertainment,0.26,0.16,1.46,0.03
1063,Jampack Winter '99,PS,1999,Misc,Sony Computer Entertainment,0.94,0.64,0,0.11
1174,Jampack Summer 2K,PS,2000,Misc,Sony Computer Entertainment,0.88,0.6,0,0.1
1252,Monopoly,PS,1997,Misc,Hasbro Interactive,1.18,0.27,0,0.05
1417,A Collection of Activision Classic Games for the Atari 2600,PS,1998,Misc,Activision,0.76,0.52,0,0.09
1581,Wheel of Fortune,PS,1998,Misc,Hasbro Interactive,0.99,0.22,0,0.04
1618,Disney's Tarzan / Disney's Aladdin in Nasira's Revenge / Disney's The Emperor's New Groove Action Game,PS,2003,Misc,Sony Computer Entertainment,0.69,0.47,0,0.08
1812,Jampack Winter '98,PS,1998,Misc,Sony Computer Entertainment,0.63,0.43,0,0.07
1920,Doko Demo Issyo,PS,1999,Misc,Sony Computer Entertainment,0,0,1,0.07
1947,Simple 1500 Series Vol. 1: The Mahjong,PS,1998,Misc,D3Publisher,0,0,0.99,0.07
2082,Jampack Winter 2000,PS,2000,Misc,Sony Computer Entertainment,0.55,0.38,0,0.07
2152,Jampack Summer '99,PS,1999,Misc,Sony Computer Entertainment,0.54,0.36,0,0.06
2202,Midway Presents Arcade's Greatest Hits: The Atari Collection 1,PS,1996,Misc,GT Interactive,0.52,0.36,0,0.06
2493,The Game of Life,PS,1998,Misc,Unknown,0.46,0.31,0,0.05
2566,Who wants to be a millionaire,PS,2000,Misc,Eidos Interactive,0.45,0.3,0,0.05
2664,Caesars Palace 2000: Millennium Gold Edition,PS,2000,Misc,Interplay,0.43,0.29,0,0.05
2894,Jeopardy!,PS,1997,Misc,Hasbro Interactive,0.39,0.27,0,0.05
3088,Um Jammer Lammy,PS,1998,Misc,Sony Computer Entertainment,0.12,0.08,0.41,0.04
3394,Jampack Fall 2001,PS,2001,Misc,Sony Computer Entertainment,0.33,0.22,0,0.04
3686,Top Gun: Fire at Will!,PS,1996,Misc,Microprose,0.3,0.21,0,0.04
3724,Bust A Groove,PS,1998,Misc,Sony Computer Entertainment,0.09,0.06,0.35,0.04
3728,Pachi-Slot Aruze Oukoku 2,PS,1999,Misc,Aruze Corp,0,0,0.5,0.04
3779,Jampack Vol. 2,PS,1996,Misc,Sony Computer Entertainment,0.3,0.2,0,0.03
3822,Pachi-Slot Aruze Oukoku 4,PS,2000,Misc,Aruze Corp,0,0,0.49,0.03
3964,Blue's Clues: Blue's Big Musical,PS,2001,Misc,THQ,0.28,0.19,0,0.03
4191,Momotarou Dentetsu V,PS,1999,Misc,Hudson Entertainment,0,0,0.44,0.03
4204,MTV Music Generator,PS,1999,Misc,Codemasters,0.26,0.18,0,0.03
4694,Wheel of Fortune: 2nd Edition,PS,2000,Misc,Hasbro Interactive,0.23,0.16,0,0.03
4755,Pro Pinball,PS,1996,Misc,Empire Interactive,0.23,0.15,0,0.03
4780,Disney's Hercules / Disney's The Jungle Book: Groove Party / A Bug's Life,PS,2003,Misc,Sony Computer Entertainment,0.23,0.15,0,0.03
4856,You Don't Know Jack,PS,1999,Misc,Vivendi Games,0.22,0.15,0,0.03
5400,Backstreet Billiards,PS,1998,Misc,ASCII Entertainment,0.19,0.13,0,0.02
5551,DX Game of Life 2,PS,1997,Misc,Takara,0,0,0.31,0.02
5642,Extreme Pinball,PS,1995,Misc,Electronic Arts,0.18,0.12,0,0.02
5720,Sesame Street: Elmo's Letter Adventure,PS,1998,Misc,NewKidCo,0.17,0.12,0,0.02
5739,Tiny Toon Adventures: The Great Beanstalk,PS,1998,Misc,Sony Computer Entertainment,0.17,0.12,0,0.02
5798,South Park: Chef's Luv Shack,PS,1998,Misc,Acclaim Entertainment,0.17,0.12,0,0.02
5810,A Collection of Classic Games from the Intellivision,PS,1999,Misc,Activision,0.17,0.12,0,0.02
5999,Jeopardy! 2nd Edition,PS,2000,Misc,Hasbro Interactive,0.16,0.11,0,0.02
6048,DX Game of Life,PS,1996,Misc,Takara,0,0,0.27,0.02
6078,Namco Museum Vol.2,PS,1996,Misc,Sony Computer Entertainment,0.03,0.02,0.21,0.02
6519,Bust A Groove 2,PS,1999,Misc,Enix Corporation,0.04,0.03,0.18,0.02
6645,Scrabble,PS,1999,Misc,Ubisoft,0.14,0.1,0,0.02